"","ADM_RATE","ACTCMMID","UGDS","TUITIONFEE_IN","TUITFTE","INEXPFTE","AVGFACSAL","PFTFAC","PFTFTUG1_EF","AGE_ENTRY","yvals","names"
"29446",0.834,16,5827,3778,3576,6725,6604,0.9123,0.7386,23.121972318,0.4496,"North Carolina Central University"
"29447",0.417,23,721,4335,7190,10646,5456,0.7596,0.7189,20.320512821,0.5568,"University of North Carolina School of the Arts"
"29448",0.5908,25,20546,4338,4683,9787,8050,0.9554,0.6559,20.774896425,0.6999,"North Carolina State University at Raleigh"
"29449",0.8135,20,1752,16000,7177,4326,4569,0.3464,1,25.837592745,0.399,"North Carolina Wesleyan College"
"29450",0.5997,23,10359,3694,4923,5352,6530,0.961,0.5704,21.589027911,0.6349,"University of North Carolina Wilmington"
"29452",0.8868,18,662,18906,11182,5409,5103,0.5915,0.8194,20.482993197,0.5614,"William Peace University"
"29453",0.8887,19,4454,3304,2379,5417,5785,0.972,0.573,24.084265474,0.3495,"University of North Carolina at Pembroke"
"29454",0.754,20,1174,15590,7257,4061,5247,0.4545,0.476,26.120906801,0.4906,"Pfeiffer University"
"29458",0.6667,22,1567,18028,8845,7398,4689,0.5,0.9842,25.789760349,0.6423,"Queens University of Charlotte"
"29461",0.5541,22,178,8225,4839,4317,3258,0.9286,0.5,22.943925234,0.4146,"Mid-Atlantic Christian University"
"29466",0.6035,16,1143,11428,5999,6596,4654,0.6964,0.8642,21.888086643,0.3746,"Saint Augustine's University"
"29467",0.656,26,834,16975,5814,6725,4809,0.5825,0.5058,27.482352941,0.5188,"Salem College"
"29470",0.5594,16,2536,9438,7760,4120,4679,0.3828,0.7327,26.431306306,0.2818,"Shaw University"
"29483",0.7757,25,823,18916,11249,8074,4234,0.8462,0.7821,20.232941176,0.487,"Warren Wilson College"
"29489",0.842,21,1342,16850,8437,6155,5283,0.7083,0.8263,20.932741117,0.5116,"Wingate University"
"29492",0.7878,17,5128,2805,2493,6454,6303,0.5666,0.665,23.310085134,0.479,"Winston-Salem State University"
"29493",0.7621,20,6889,3410,3567,5779,6046,0.9369,0.6677,21.524271845,0.4735,"Western Carolina University"
"29496",0.9856,20,2494,4154,3072,4235,4641,0.5057,0.5698,22.818576389,0.3036,"Dickinson State University"
"29500",0.9776,22,1019,10000,5762,4604,4618,0.7273,0.7239,20.924398625,0.4577,"University of Jamestown"
"29504",0.8574,23,2102,11150,10504,4136,4553,0.2865,0.5382,23.915570934,0.5818,"University of Mary"
"29507",0.8543,21,3547,4092,3243,4998,4917,0.7095,0.9321,23.44197844,0.2887,"Minot State University"
"29509",0.687,22,10498,5282,6970,9215,6017,0.906,0.7213,21.281344902,0.5614,"University of North Dakota"
"29512",0.883,23,10153,5264,4888,4822,5814,0.9238,0.5629,20.840561751,0.5363,"North Dakota State University-Main Campus"
"29516",0.3787,20,291,11114,9678,3825,3248,0.625,0.6154,22.420289855,0.5667,"Trinity Bible College"
"29519",0.9375,21,1013,5160,3967,5520,4102,1,0.7033,22.039130435,0.4304,"Valley City State University"
"29533",0.2634,21,163,18500,18241,9938,4085,0.413,0.9762,21.126315789,0.5106,"Art Academy of Cincinnati"
